card_id,amount_mean,amount_std,amount_sum,unique_merchants,most_common_category,activity_span_days,cluster
10025,29693.423526011564,64049.910129390664,20547849.080000002,149,Utilities & Bill Payments,34,1
10026,4773.764809741248,9054.762917858558,6272726.96,187,Unknown,124,-1
10027,23503.6115,47263.63862675537,2350361.15,30,Unknown,135,1
10028,30192.929046861616,88286.04701107029,246766809.1,477,Unknown,367,-1
10029,42958.51051252319,227276.44652178124,185237097.33,406,Unknown,187,-1
10030,4878.906931143649,11079.587503913242,24657995.63,405,Unknown,547,-1
10031,38057.88895009497,116547.95591819522,220393234.91,489,Utilities & Bill Payments,664,-1
10032,6666.915572191121,18437.98015563321,51208578.51,495,Grocery & Food Markets,148,1
10033,15547.78506329114,52873.85447028806,1228275.02,31,Grocery & Food Markets,11,1
10034,45031.61835775862,184483.58197254752,104473354.59,314,Unknown,281,-1
10035,36956.56632996633,61589.66794919383,21952200.4,59,Unknown,63,1
10036,6747.694735777837,18552.74956843694,100108799.1,500,Grocery & Food Markets,307,1
10037,25708.31059115844,90344.69153049645,398350272.61,500,Utilities & Bill Payments,500,-1
10038,20539.49332301632,60641.66677692093,145994718.54,487,Grocery & Food Markets,211,1
10039,16321.250768688293,58371.20282564909,324009470.26,500,Services (Other),405,-1
10040,34161.457127659574,130490.38956509571,48167654.55,253,Utilities & Bill Payments,65,-1
10041,8617.823295641447,23186.800218413893,167668370.04,500,Grocery & Food Markets,398,1
10042,13617.655823655914,42139.54403762654,31661049.79,372,Utilities & Bill Payments,468,-1
10043,16484.009759313856,47186.12589201435,307509202.06,500,Unknown,708,-1
10044,24064.55077437522,58922.136086980754,68367388.75,333,Unknown,357,-1
10045,66570.31078579578,163440.86162894315,933582038.46,499,Unknown,578,-1
10046,13402.55550738447,33288.01653299391,28131964.01,337,Utilities & Bill Payments,587,-1
10047,12162.045328467153,20220.721504099456,1666200.21,44,General Retail & Department,28,1
10048,28296.00936444886,64700.89734199092,85482244.29,338,Unknown,130,1
10049,20054.67044305518,119441.5920433323,73781132.56,422,Utilities & Bill Payments,185,-1
10050,12998.022163355408,28649.68310721401,5888104.04,103,Utilities & Bill Payments,28,1
10051,6565.780226569096,17211.63089124743,93312868.58,500,Grocery & Food Markets,290,-1
10052,37022.38485482606,109671.0547424054,283073154.6,477,Unknown,349,-1
10053,28277.182507909467,75255.81722877255,232381885.85,481,Unknown,354,-1
10054,38249.13256615166,118480.40009992295,215380865.48,479,Utilities & Bill Payments,637,-1
10055,35400.859715909086,59119.40940302658,12461102.62,72,Unknown,508,-1
10056,40117.915819442394,87056.50356876862,271959351.34,467,Unknown,290,-1
10057,27024.51261021606,102539.27976781636,216385272.47,483,Unknown,316,-1
10058,16276.006747432182,57077.03437502257,61799997.62,440,Grocery & Food Markets,70,1
10059,15467.95868065268,47860.72175002842,66357542.74,459,Grocery & Food Markets,84,1
10060,23598.01041420118,44538.8213722675,3988063.76,34,Unknown,212,-1
10061,32448.184033816426,54454.40210796997,13433548.19,100,Utilities & Bill Payments,35,1
10062,7976.548007033998,18501.515505001786,40823972.7,469,Fuel & Service Stations,101,1
10063,13324.214292589028,40874.63766577691,13843858.65,217,Dining & Restaurants,191,1
10064,23786.501847826086,37293.03789103679,8753432.68,80,Unknown,14,1
10065,17327.62118748573,44453.544627750976,75877653.18,439,Grocery & Food Markets,270,1
10066,9007.355444273242,22511.047194818675,17537321.05,329,Grocery & Food Markets,437,1
10067,19429.51156082632,48157.36925122015,25394371.61,263,Utilities & Bill Payments,182,1
10068,34506.79135632184,58393.45690975261,15010454.24,57,Unknown,685,-1
10069,30208.86012088839,26734.306772066895,107452915.45,164,Unknown,262,-1
10070,29428.240792886747,26997.928618173384,220093812.89,296,Unknown,603,-1
10071,22055.922236444265,63970.34177002596,218838860.43,495,Grocery & Food Markets,294,-1
10072,5641.631126152073,12601.109708712429,19587743.27,344,Unknown,360,-1
10073,26819.316695407684,66434.89471726678,143081054.57,463,Utilities & Bill Payments,155,1
10074,28779.46108974359,48842.060779484236,4489595.93,40,Unknown,209,1
10075,39574.11633377135,88767.0569436949,30115902.53,188,Utilities & Bill Payments,73,-1
10076,56977.74524507659,212064.21613670065,260388295.77,462,Utilities & Bill Payments,498,-1
10077,6527.5481034482755,19082.68167304443,3028782.32,126,Utilities & Bill Payments,98,1
10078,13274.932032746716,32769.343596534774,119182339.79,493,Utilities & Bill Payments,597,1
10079,5811.289178082192,14604.600182278988,12302499.19,262,Unknown,220,1
10080,9699.475310328931,27464.234089900052,294582764.65,500,Grocery & Food Markets,684,-1
10081,64583.47858983799,234768.57421227425,350817455.7,451,Unknown,209,-1
10082,15578.330692550404,44796.4127431604,291299205.62,500,Clothing & Apparel,386,-1
10083,33570.292240300376,79979.53247529775,26822663.5,153,Utilities & Bill Payments,33,1
10084,11173.689749455338,32610.34289692727,10257447.19,224,Dining & Restaurants,171,1
10085,16482.58868388915,42297.67622267104,175457156.54,493,Grocery & Food Markets,433,1
10086,30020.58299102927,98640.5874084341,127167189.55,421,Utilities & Bill Payments,247,-1
10087,33879.127354325006,107466.60108288698,93608028.88,369,Unknown,212,-1
10088,22210.084545630318,54773.496994470486,114870557.27,455,Utilities & Bill Payments,261,1
10089,5738.435638392067,16624.96735438658,129619784.2,500,Grocery & Food Markets,476,1
10090,29879.686636999362,39405.824216825415,188002988.32,286,Unknown,504,-1
10091,27502.34227932961,65560.46681280977,49229192.68,268,Grocery & Food Markets,213,-1
10092,20527.47672857143,37499.33300736707,14369233.71,154,Utilities & Bill Payments,37,1
10093,6494.423836133286,19437.16920406669,163523097.77,500,Utilities & Bill Payments,546,1
10094,7340.795237010027,16520.467922826883,16105704.75,365,Grocery & Food Markets,41,-1
10095,23773.429243281473,55221.085416574686,33615628.95,278,Grocery & Food Markets,281,-1
10096,26840.504828125002,76349.90315628568,85889615.45,400,Utilities & Bill Payments,160,1
10097,13966.157192016517,37562.58672427813,81171305.6,450,Unknown,188,1
10098,41334.04396527778,133867.07407532868,59521023.31,261,Unknown,206,-1
10099,17668.122215299914,59422.9793900314,121945379.53,483,Grocery & Food Markets,205,1
10100,38670.38958333333,64849.88367549494,1856178.7,20,Unknown,82,-1
10101,15326.592166095892,55188.383866573895,53704378.95,438,Utilities & Bill Payments,590,-1
10102,18950.192836879432,34082.46399331267,5343954.38,60,Unknown,16,1
10103,15396.513681422624,32005.05847188644,81385971.32,468,Utilities & Bill Payments,315,1
10104,7602.089394586894,20572.62516174558,149426669.14,500,Dining & Restaurants,408,1
10105,16374.967495064166,35867.201423847975,66351368.29,437,Dining & Restaurants,121,1
10106,30802.631850649348,17541.3002426807,37948842.44,44,Unknown,361,-1
10107,43926.736010140405,114706.36486134342,112628151.13,284,Unknown,398,-1
10108,25362.72870056497,68889.57268688818,22446014.9,195,Dining & Restaurants,27,1
10109,17790.898603698257,37451.239919269494,169333772.91,489,Unknown,323,1
10110,33822.998834849546,84552.3837572788,96666130.67,392,Electronics & Software,82,-1
10111,28517.912887700535,48950.6842441291,10665699.42,66,Unknown,557,1
10112,27035.968260370428,66900.24088286504,353251961.29,496,Unknown,612,-1
10113,9643.333582802547,33032.822567444564,18168040.47,312,Grocery & Food Markets,391,1
10114,13723.789223610742,31074.630020601508,51615171.27,423,Utilities & Bill Payments,232,1
10115,34072.51767233456,141832.7116156916,296567193.82,487,Unknown,333,-1
10116,26800.600060289933,164167.41390501056,395630458.09,498,Unknown,531,-1
10117,13691.688386766713,27788.380778296974,40144030.35,383,Utilities & Bill Payments,174,1
10118,30886.059242819843,54683.20273782979,11829360.69,63,Unknown,581,1
10119,76859.2397197865,219979.5597124442,403203571.57,479,Utilities & Bill Payments,585,-1
10120,25354.04597972973,37854.60395140442,7504797.61,59,Unknown,399,-1
10121,30381.07330229226,239814.41966951286,42411978.33,242,Utilities & Bill Payments,60,-1
10122,15625.366859284331,32833.7020415756,258506069.32,500,Unknown,607,-1
10123,17431.478315565033,33702.387338872715,8175363.33,105,Grocery & Food Markets,27,1
10124,11781.381567511638,37648.19800653256,68320231.71,473,Fuel & Service Stations,109,1
10125,15387.526699834161,143453.59797332107,18557357.2,247,Grocery & Food Markets,31,-1
10126,33733.16586264308,57716.06926082521,162087861.97,280,Unknown,645,-1
10127,42475.75363866825,192132.03787058164,251329034.28,460,Unknown,222,-1
10128,15553.977627754337,56556.88980157593,33176634.28,329,Unknown,150,1
10129,24206.51609677419,95180.04844281873,307664819.59,498,Unknown,501,-1
10130,13593.986535036325,39763.8779322822,232022162.18,500,Grocery & Food Markets,353,-1
10131,19352.480823782236,77375.96436282808,27016063.23,213,Unknown,45,1
10132,19563.183610945154,57121.47000278283,163724283.64,481,Unknown,285,1
10133,5209.226962294211,11588.715565737853,9808974.37,236,Unknown,182,1
10134,20903.6,37585.72968118849,2487528.4,26,Unknown,161,1
10135,30478.88566871166,167247.21285665702,74520875.46000001,359,Grocery & Food Markets,69,-1
10136,22281.14856880734,58006.032612343384,12143225.97,149,Grocery & Food Markets,102,1
10137,17617.20790556901,36388.171818383715,29103627.46,210,Unknown,58,1
10138,26092.422776809854,72575.85832007247,434308377.12,500,Grocery & Food Markets,550,-1
10139,4502.512573770492,10009.306123838809,16479196.02,358,Unknown,391,-1
10140,28954.35635826772,22588.898606584895,147088130.3,242,Unknown,400,-1
10141,47391.70405550953,122455.76041709841,114403573.59,278,Unknown,405,-1
10142,24907.17275362319,43459.332432175,5155784.76,46,Unknown,301,-1
10143,13890.53329540837,73449.87008978339,102553807.32,477,Grocery & Food Markets,635,-1
10144,20977.148939207163,65154.222621052504,323320796.6,500,Grocery & Food Markets,487,-1
10145,30490.908728773586,81271.88564341063,129281453.01,421,Unknown,541,-1
10146,12830.612056451613,58493.59843417512,15909958.95,233,Utilities & Bill Payments,301,-1
10147,23735.753576384508,59040.070433953755,188153318.6,492,Unknown,662,-1
10148,44570.99907454603,141711.29505050668,279816732.19,469,Utilities & Bill Payments,310,-1
10149,21205.31336325238,57529.65556078823,200814317.55,494,Utilities & Bill Payments,497,1
10150,4022.2058207217697,9093.681031071048,24185523.6,417,Unknown,701,-1
10151,30721.3054200542,67595.48644477523,22672323.4,132,Utilities & Bill Payments,31,1
10152,14506.439957746477,25593.295740532798,10299572.37,131,Utilities & Bill Payments,32,1
10153,7122.6684753862,20497.20935145406,172902777.24,500,Dining & Restaurants,540,1
10154,40884.15760583942,117622.71333321472,56011295.92,246,Utilities & Bill Payments,69,-1
10155,56981.408215399606,219672.95292286735,584629248.29,490,Unknown,466,-1
10156,49142.820057678444,385040.9694675168,204483274.26,403,Unknown,531,-1
10157,29772.526035846073,52974.656092411096,112956963.78,363,Unknown,140,-1
10158,17296.793931464803,57627.58913493497,343739185.8,500,Grocery & Food Markets,411,-1
10159,18989.663044778532,57541.214716696915,234940111.19,497,Unknown,444,1
10160,24039.17812074948,79050.94006950843,346404556.71999997,498,Unknown,604,-1
10161,23304.261567982456,47718.46669234325,127520919.3,441,Unknown,219,1
10162,18574.463350760456,57275.85597400786,39080670.89,356,Grocery & Food Markets,427,-1
10163,18002.188493913043,45792.09992067948,103512583.84,473,Utilities & Bill Payments,349,1
10164,32004.66644977169,113831.7189516357,56072175.62,275,Utilities & Bill Payments,104,-1
10165,18650.64257372654,30933.164078470374,6956689.68,92,Unknown,29,1
10166,28067.753703703704,44480.74588375204,757829.35,7,Unknown,29,1
10167,19068.889778917015,62680.07462116512,59514005.0,408,Grocery & Food Markets,58,1
10168,43742.73211267606,98596.65194847177,3105733.98,18,Unknown,104,-1
10169,4303.853068868304,10688.411565559749,10686467.17,291,Unknown,236,1
10170,32220.2385625,88555.77878158621,10310476.34,67,Unknown,12,1
10171,10141.372752293577,24866.87341328731,12159505.93,239,Utilities & Bill Payments,298,1
10172,25299.964045677,44969.832214664355,15508877.96,118,Unknown,68,1
10173,32060.836917728855,115374.21041872892,27668502.26,139,Unknown,31,-1
10174,32604.036505513144,39893.41473416165,38440159.04,94,Unknown,137,1
10175,4412.207453874538,9147.473536162679,2391416.44,96,Unknown,57,-1
10176,6587.4994620890175,19980.153223791887,58905420.19,493,Fuel & Service Stations,180,1
10177,4910.784217105263,10151.40161860398,7464392.01,208,Unknown,159,1
10178,34071.294675028505,48801.14431219758,29880525.43,80,Unknown,109,1
10179,28975.999721875556,26003.876985372073,162526382.44,251,Unknown,418,-1
10180,24741.207136752135,111952.17601526089,5789442.47,74,Services (Other),43,-1
10181,36380.92396909706,164727.23138744125,150689787.08,415,Unknown,151,-1
10182,8098.279033100377,23124.219440490375,210895382.58,500,Utilities & Bill Payments,587,1
10183,8053.983375527426,28733.111097218345,17179146.54,258,Unknown,217,1
10184,8838.604438074439,22480.088267293973,194254848.34,500,Utilities & Bill Payments,460,1
10185,25065.399421487604,77909.99972876447,54592439.94,340,Utilities & Bill Payments,61,-1
10186,16070.511221633085,72525.19856135176,75772460.41,457,Dining & Restaurants,360,1
10187,28270.17080787309,56665.425181584775,96231661.43,334,Unknown,560,-1
10188,14063.368800941591,40966.09253314679,95588717.74,477,Dining & Restaurants,559,1
10189,19941.331302952505,46887.192535841175,31068594.17,267,Dining & Restaurants,113,1
10190,16022.046925722147,52827.72914268097,116480281.15,477,Grocery & Food Markets,467,1
10191,11012.07297433526,29206.34509696409,238136078.07,500,Services (Other),448,1
10192,80829.55882938979,332422.3545183918,64906135.74,180,Utilities & Bill Payments,79,-1
10193,26602.325422740523,43137.20584546206,9124597.62,70,Unknown,526,1
10194,32951.45013602638,52246.73785672772,159880436.06,221,Unknown,374,-1
10195,29132.302622950818,55443.2678563151,5331211.38,47,Unknown,20,1
10196,22054.67575901612,58920.44983035162,663514920.21,500,Travel & Transportation,691,-1
10197,10362.145550213674,25695.024476997012,19397936.47,317,Utilities & Bill Payments,519,-1
10198,7145.04851810377,21468.210524732513,191415849.8,500,Grocery & Food Markets,599,1
10199,8460.223075508986,30677.322780196315,184085993.9,500,Grocery & Food Markets,461,1
10200,15027.974386227546,47063.674620889506,100386868.9,484,Grocery & Food Markets,530,1
10201,30236.06455375485,77501.31753668861,264928397.62,482,Utilities & Bill Payments,388,-1
10202,28438.615161290323,51623.22178704838,2644791.21,16,Unknown,133,1
10203,28864.76313163717,94269.20834118276,260937458.71,494,Utilities & Bill Payments,490,1
10204,68082.86909891304,248825.3536625839,626362395.71,496,Services (Other),277,-1
10205,7150.538390552714,15247.432828077033,29367261.169999998,454,Grocery & Food Markets,75,1
10206,16909.573105994787,39334.73071096384,116777511.87,476,Utilities & Bill Payments,431,1
10207,25085.00613430127,93445.75488329864,13821838.38,142,Utilities & Bill Payments,87,1
10208,15750.480091607167,35015.74685637766,116915813.72,492,Unknown,478,1
10209,32706.601051337228,82442.97741879897,212789146.44,467,Utilities & Bill Payments,277,-1
10210,19388.787975817286,57669.402270093764,86590327.1,450,Grocery & Food Markets,281,1
10211,23506.26577548006,64052.19379815691,47741225.79,330,Utilities & Bill Payments,90,1
10212,12596.510425821065,53223.24257512379,111227187.06,493,Grocery & Food Markets,175,1
10213,29193.903181818183,51599.53002130149,642265.87,11,Unknown,28,1
10214,43667.718692471804,187118.30283648078,716368925.15,500,Unknown,698,-1
10215,14233.097047229454,147640.21544536378,38272797.96,411,Utilities & Bill Payments,419,-1
10216,23055.48168018336,56073.488524339286,261541384.18,497,Unknown,546,-1
10217,8255.49608409397,22279.06005875778,110342960.66,500,Grocery & Food Markets,272,1
10218,11449.82238117089,48961.36814613243,299424305.09,500,Utilities & Bill Payments,589,-1
10219,10282.760546999469,41684.76092405095,19362438.11,343,Grocery & Food Markets,374,1
10220,43868.654530321044,104049.93405502505,36893538.46,172,Unknown,121,-1
10221,20018.463922950436,87815.71017895393,85218600.92,425,Grocery & Food Markets,156,-1
10222,29704.34603960396,59151.471040749864,18000833.7,119,Unknown,92,1
10223,34268.311727743276,96118.69164677981,331031891.29,496,Utilities & Bill Payments,516,-1
10224,20850.248927125507,54848.452178609106,10300022.97,91,Unknown,54,1
10225,7427.766594959401,19588.185391550844,70437510.62,498,General Retail & Department,188,1
10226,21263.426240713223,92699.41676005963,71551429.3,426,Utilities & Bill Payments,339,-1
10227,8124.294277157776,21041.44351603092,158699964.41,500,Dining & Restaurants,405,1
10228,99510.48053571429,497569.1151220101,5572586.91,15,Unknown,97,-1
10229,14663.567242134064,41559.32351880832,107190676.54,481,Utilities & Bill Payments,454,1
10230,16783.84573085451,43655.55295660533,98403687.52,451,Unknown,197,1
10231,21207.849320987654,63154.02898689092,10307014.77,108,Utilities & Bill Payments,24,1
10232,32217.9822332636,25536.31568072548,61600782.03,55,Unknown,584,-1
10233,15139.294078031406,38438.652378417784,187030839.04,496,Unknown,435,1
10234,36134.1742901889,153032.2605240584,749856384.87,500,Grocery & Food Markets,724,-1
10235,23952.16195035461,56564.69984816292,6754509.67,78,Fuel & Service Stations,54,1
10236,19873.964819897083,49689.87400863444,11586521.49,124,Unknown,18,1
10237,29043.026388706498,80442.54900296297,44232529.19,304,Utilities & Bill Payments,221,-1
10238,25264.59876170877,66082.57911640727,356028725.75,499,Unknown,661,-1
10239,14326.528941106484,34936.017989243264,144497370.9,497,Utilities & Bill Payments,673,-1
10240,55938.20095425304,163503.09391338288,156515086.27,375,Grocery & Food Markets,415,-1
10241,7585.503573384447,17770.006773224468,138511295.25,500,Grocery & Food Markets,382,1
10242,26893.86753246753,44527.407915041265,4141655.6,33,Unknown,196,1
10243,20215.654958030216,70798.06692013534,72250750.82,414,Utilities & Bill Payments,168,1
10244,19211.80583184258,99419.86069677309,10739399.46,154,Utilities & Bill Payments,86,-1
10245,17127.90359730539,38184.65721437311,228828792.06,498,Unknown,543,1
10246,11222.377330006238,31802.374958841636,53968412.58,463,Grocery & Food Markets,95,1
10247,41729.79225385694,122200.98960258222,297533418.77,476,Unknown,315,-1
10248,4276.994572916667,9530.592867808304,12317744.37,309,Unknown,285,1
10249,21489.535816923893,56276.60372335456,40378837.8,348,Utilities & Bill Payments,285,1
10250,7521.941905258765,20805.39627088464,36045145.61,463,Grocery & Food Markets,92,1
10251,28287.38184343434,51873.99610369934,11201803.209999999,63,Unknown,613,1
10252,38546.601288115715,86082.19490951479,197204412.19,292,Unknown,719,-1
10253,14143.587858071976,44253.25849241625,97859484.39,488,Utilities & Bill Payments,446,1
10254,29663.035206185566,46859.47216907588,5754628.83,31,Unknown,308,1
10255,12337.220067347887,35049.99999240877,159372208.83,497,Unknown,462,1
10256,24054.7588,41232.31926707126,1202737.94,19,Unknown,60,1
10257,15216.895529981828,41141.672921156656,50246189.04,417,Dining & Restaurants,96,1
10258,30019.003203797358,78447.94264730273,338344185.11,493,Unknown,447,-1
10259,60410.478575137946,174059.52338809162,372249368.98,484,Utilities & Bill Payments,695,-1
10260,14073.649651972159,47552.3462279201,12131486.0,189,Grocery & Food Markets,25,1
10261,16287.241773835922,36908.2912335257,146910920.8,492,Utilities & Bill Payments,621,1
10262,33605.044598540146,63532.29472347361,59850584.43,233,Unknown,261,-1
10263,22351.81523132428,50050.57344016697,105321753.37,438,Unknown,622,-1
10264,63583.298211939444,262134.28979823008,222605127.04,394,Unknown,558,-1
10265,61091.17706036746,347330.01228192454,23275738.46,39,Unknown,45,-1
10266,16812.783296823658,34188.68687095454,15350071.15,161,Unknown,29,1
10267,41466.30775346347,117263.01407868172,526787973.7,495,Unknown,612,-1
10268,16253.134795573675,42739.90792638901,139533162.22,490,Utilities & Bill Payments,582,1
10269,25137.334250764525,42622.64378439247,32879633.2,232,Unknown,159,1
10270,11929.970626160337,26529.737461203593,70685075.96,470,Grocery & Food Markets,478,1
10271,36589.61238368247,112429.86556408882,331867784.32,496,Utilities & Bill Payments,505,-1
10272,13454.837188405798,28039.2648393606,4641918.83,87,Grocery & Food Markets,23,1
10273,28219.87318965517,57053.54898691444,9820515.87,68,Unknown,549,1
10274,32928.64639764284,74150.9064009592,128520506.89,430,Utilities & Bill Payments,191,1
10275,28819.327834339947,54095.5650453348,100204802.88,342,Unknown,576,-1
10276,26350.722659151197,60893.24484169791,39736889.77,237,Unknown,49,1
10277,28309.07464873848,19026.05052839675,187377765.1,266,Unknown,551,-1
10278,11941.354919735599,33743.129348345654,37937684.58,417,Utilities & Bill Payments,705,-1
10279,8637.184549763033,24536.453237741614,3644891.88,102,Utilities & Bill Payments,98,1
10280,31501.927419354837,34415.775681542495,2929679.25,16,Unknown,9,1
10281,13241.574413782351,41345.767751755055,84931458.29,478,Grocery & Food Markets,518,1
10282,22908.57496758659,122412.64336139034,123683396.25,462,Unknown,421,-1
10283,20300.12656730542,72783.85366579323,85808635.0,417,Unknown,151,1
10284,14797.590678941311,25894.81157552612,38577318.9,338,Unknown,79,1
10285,14189.252950624628,48187.2665306143,23852134.21,311,Utilities & Bill Payments,442,1
10286,15946.421413959086,52346.15443048916,26502952.39,288,Utilities & Bill Payments,411,1
10287,14290.130911458333,66041.0373547483,137185256.75,495,Utilities & Bill Payments,529,1
10288,7196.411530568619,17944.09982853928,50497219.71,491,Grocery & Food Markets,137,1
10289,30535.64509233352,50842.348608871056,54567197.78,233,Unknown,280,-1
10290,33982.31963781929,103133.23793580847,89135624.41,379,Utilities & Bill Payments,411,-1
10291,15616.753251862197,33517.51204078142,134179143.94,496,Utilities & Bill Payments,558,1
10292,15537.75292521994,109908.60277004818,21193494.99,266,Grocery & Food Markets,38,-1
10293,17833.1825292852,41216.14110467893,74596202.52,430,Unknown,253,1
10294,38851.04623956595,210568.05735827642,186174213.58,456,Utilities & Bill Payments,227,-1
10295,21985.173215453196,66710.40737279148,73980107.87,385,Unknown,126,1
10296,21969.472068515497,54607.21995869343,202009295.67,496,Unknown,355,1
10297,19646.900815921916,48955.82032329156,128824728.65,453,Unknown,222,1
10298,14159.582479379742,40883.79812339587,85835388.99,468,Utilities & Bill Payments,386,1
10299,13612.738096551724,28483.98598651519,59215410.72,408,Unknown,140,1
10300,24152.319614023803,62127.71009669763,75089561.68,421,Utilities & Bill Payments,308,1
10301,66509.97592212638,295658.11350265564,285261286.73,452,Utilities & Bill Payments,466,-1
10302,30410.41894039735,85399.90578510342,4591973.26,36,Unknown,216,-1
10303,22939.126589840078,62175.52157574019,48768583.13,321,Unknown,76,1
10304,25211.867403414195,111181.54505379753,28060808.419999998,229,Grocery & Food Markets,29,-1
10305,15294.85609979454,39688.79388371568,260547873.66,499,Unknown,628,1
10306,15197.580603839106,42723.56528971392,157553318.12,496,Electronics & Software,202,1
10307,49210.16376487966,183684.5697815641,566359774.77,497,Utilities & Bill Payments,639,-1
10308,6399.638552389923,23200.265213120067,135896324.66,500,Dining & Restaurants,436,1
10309,30697.652812500004,57956.65065767892,10805573.790000001,70,Unknown,588,1
10310,27806.43221886539,20363.138579386512,82835361.58,160,Unknown,219,-1
10311,12824.807042011018,84005.83887392985,74486479.3,467,Grocery & Food Markets,350,-1
10312,23636.062151026494,103794.78948898455,332724846.9,499,Unknown,495,-1
10313,13848.704292523087,34800.84859789231,46490100.31,392,Utilities & Bill Payments,210,1
10314,5890.214309173273,19302.09004027211,31206355.41,425,Unknown,573,1
10315,49223.54343220339,91455.42871693756,104550806.25,312,Unknown,322,-1
10316,32449.77168324556,93557.05825557181,166369979.42,468,Grocery & Food Markets,154,-1
10317,17620.75867962738,42334.90330897058,87011306.36,452,Dining & Restaurants,384,1
10318,21234.53997335033,87192.25036349885,366529394.48,498,Unknown,645,-1
10319,23772.1648989899,61161.45447021449,47068886.5,269,Unknown,59,1
10320,17566.358735632184,43018.01047508685,3056546.42,50,Utilities & Bill Payments,28,1
10321,38613.544126984125,70021.11592291704,12163266.4,77,Unknown,40,-1
10322,8104.487196738023,28075.558085451183,31802007.76,448,Grocery & Food Markets,69,1
10323,22478.728378746597,57769.45330399116,16499386.63,140,Unknown,41,1
10324,25779.334150208622,136633.83543195482,92676706.27,437,Utilities & Bill Payments,363,-1
10325,55855.79162913341,277775.40798170835,391884234.07,488,Grocery & Food Markets,213,-1
10326,5614.305304787392,15332.095937837128,18880908.74,310,Unknown,340,1
10327,14551.0942593469,32109.273564453946,61492924.34,448,Grocery & Food Markets,306,1
10328,14004.077160017798,32680.257393752563,94429492.29,483,Dining & Restaurants,408,1
10329,27317.842481751824,61903.32613124117,3742544.42,55,Utilities & Bill Payments,13,1
10330,4727.799263420724,9152.875290253754,3786967.21,130,Unknown,80,1
10331,28590.176042181578,89031.2881582993,173513778.4,481,Unknown,489,-1
10332,13999.814942052979,34769.5014618991,16911776.45,231,Utilities & Bill Payments,295,1
10333,14735.539123287672,20238.225394619447,5378471.78,86,Utilities & Bill Payments,19,1
10334,10087.533340807175,25257.485595564696,4499039.87,110,Utilities & Bill Payments,111,1
10335,14093.669469346734,35334.8911156437,70116005.61,440,Grocery & Food Markets,315,1
10336,31714.417758007115,85738.87791707086,124764519.46,448,Utilities & Bill Payments,643,-1
10337,8344.019937521694,21563.555915433426,48078242.88,480,Dining & Restaurants,109,1
10338,27994.83338869759,121079.49311840053,138210492.44,432,Pharmacies & Health,670,-1
10339,36485.19246294184,71846.29352465898,31997513.79,139,Unknown,126,1
10340,29286.869926227184,76022.76081530123,309650075.73,493,Unknown,479,1
10341,16792.43767857143,36508.65159100595,43257319.46,370,Utilities & Bill Payments,154,1
10342,26707.588064338743,88260.36732541081,97135497.79,412,Unknown,287,1
10343,16615.739596833577,85698.51091180927,451283487.45,500,Utilities & Bill Payments,603,-1
10344,20884.602966878083,49310.99553987374,29635251.61,244,Utilities & Bill Payments,77,1
10345,13674.178633540372,41965.04531293447,2201542.76,46,Grocery & Food Markets,33,1
10346,12352.831926731149,30800.806766216752,144318135.4,495,Unknown,407,1
10347,17554.328754080845,38792.40988577402,295737776.52,500,Unknown,620,1
10348,20887.115449473033,50888.89076358517,33690917.22,276,Utilities & Bill Payments,82,1
